id,brewery_id,name
282,892,Irish Dry Stout
283,892,Kilt Lifter Scottish Ale
284,892,India Pale Ale
285,588,Blonde Bock
286,588,Schwarzbier
287,588,Czech Lager
288,385,Yule Tide
289,588,Pilsner
290,308,Warka Strong
291,1074,Porter
292,1074,ESB
293,1074,Pale Ale
294,1074,Kristall Weizen
295,1163,ESB (Extra Special Blizzard)
296,677,Paint the Town Red
297,677,Golden Ale
298,1004,Train Wreck IPA
299,1004,Zone 7 Porter
300,1004,Pleasanton Pale
301,1004,Island Wheat
302,707,Hefeweizen
303,707,Red Ale
304,707,Penalty Shot Porter
305,707,India Pale Ale
306,707,Grid Iron Amber Ale
307,707,Boys of Summer Wheat
308,523,Pale Ale
309,523,Red Ale
310,523,Hefeweizen
311,523,Bitter
312,523,Double IPA
313,133,Tatonka Stout
314,133,P.M. Porter
315,133,Jeremiah Red
316,133,Piranha Pale Ale
317,133,Harvest Hefeweizen
318,133,Brewhouse Blonde
319,133,Nutty Brewnette
320,515,India Pale Ale (IPA)
321,515,Belgian Tripel
322,515,Belgian Abbey
323,515,Stout
324,515,Pale Ale
325,515,Best Bitter
326,515,Hefe Weizen
327,515,Pilsner
328,515,KÃ¶lsch
329,727,Harvest Ale 2005 (Whisky)
330,727,Harvest Ale 2005 (Calvados)
331,727,Harvest Ale 2005 (Sherry)
332,1072,Old Crustacean Barleywine 2006
333,236,Avalanche Amber
334,236,Hefe Proper Ale
335,935,Levity Amber Ale
336,935,Easy Street Wheat
337,161,Boulevard Pale Ale
338,161,Bully! Porter
339,795,Bovine Belgian Winter Ale
340,795,XX Black Angus Stout
341,795,Blarney Stone Stout
342,795,Bison Brown Ale
343,795,Prairie Pale
344,795,Wildcat Wheat
345,161,Boulevard Dry Stout
346,160,Planet Porter / Boulder Porter
347,195,Amber
348,187,Blanche des Moines
349,187,Triple Moine
350,272,Arabier
351,272,Bos Keun
352,175,Grand Cru
353,272,Oerbier
354,272,Dulle Teve / Mad Bitch
355,278,Vuuve
356,284,Gouden Carolus Tripel
357,284,Gouden Carolus Ambrio 1471
358,269,Pauwel Kwak
359,285,Delirium NoÃ«l
360,7,Rochefort 10
361,167,McChouffe
362,236,471 Double IPA
363,167,La Chouffe Golden Ale
364,184,Saison Voisin
365,322,Olde Expensive Ale
366,110,Quadrupel
367,110,Tripel
368,110,Dubbel
369,903,Old Growler
370,431,Urthel Vlaemse Bock
371,296,Watou Tripel
372,586,Matilda
373,638,Old Engine Oil Special Reserve (aged in malt whisky casks)
374,935,Imperial Stout
375,757,EKU 28
376,757,Eisbock
377,1115,Doppelbock Dunkel
378,1385,Special London Ale
379,1385,Oatmeal Stout
380,128,Super
381,128,Wayan
382,160,GABF 25th Year Beer
383,39,Old Foghorn 2006
384,21,Grand Cru 2006
385,363,Cerveza Negra
386,363,Cerveza Diablo
387,363,Cerveza Roja
388,300,Buffalo Belgian Stout
389,238,Rader AmbrÃ©e
390,238,Rader Blonde
391,626,Toleration
392,1185,English Ale
393,425,Ripon Jewel Ale
394,200,XTra
395,723,Bam BiÃ¨re
396,1115,Samichlaus Bier 2005
397,609,Barleywine
398,1177,Old Godfather
399,1023,Aventinus Weizen-Eisbock
400,1023,Aventinus Weizenstarkbier / Doppel Weizen Bock
401,905,New Belgium Trippel Belgian Style Ale
402,249,Hennepin Farmhouse Ale
403,905,Abbey Belgian Style Ale
404,1142,India Pale Ale
405,1142,Bigfoot 2006
406,1054,Iron Fist Pale Ale
407,586,Demolition
408,723,Oro de Calabaza
409,723,La Roja
410,919,Brother Thelonious
411,441,Hop Trip Fresh Hop Pale Ale
412,130,Organic Belgian Ale
413,1192,Nieuw Ligt Grand Cru 2006
414,604,Hibernation Ale
415,623,Wee Heavy Winter Ale
416,905,2Â° Below
417,425,Monkey Wrench Dark Ale
418,425,Old Legover
419,604,Hercules Double IPA
420,604,Fresh Hop Pale Ale
421,98,Twisted Thistle India Pale Ale
422,1315,Espresso Stout
423,441,Inversion IPA
424,844,India Pale Ale
425,844,London Porter
426,742,Hitachino Nest Celebration Ale 2006
427,363,Rubia
428,562,Session Premium Lager
429,156,Mocny BOSS / BOSS Beer
430,127,La Rossa
431,905,Blue Paddle Pilsener
432,367,Lager
433,70,Hell
434,70,Pilsner
435,70,Ungespundet Lager Hefetrub
436,1188,Keller-Bier
437,1264,Imperial Porter
438,1264,Amber Ale
439,905,La Folie
440,296,Abt 12
441,195,Nostradamus
442,175,Triple
443,168,Ultrabrune
444,277,PÃ¨re NoÃ«l
445,1375,Bah Humbug
446,727,Harvest Ale 2005 (Port)
447,727,Harvest Ale 2005
448,727,Moonraker
449,638,Old Engine Oil
450,1043,Pitchfork Rebellious Bitter
451,638,Bitter and Twisted
452,1185,India Pale Ale
453,1043,Old Slug Porter
454,744,Golden Abbot Lager
455,744,Porter
456,757,MÃ¶nchshof KellerbrÃ¤u
457,626,Nightmare
458,205,Ur-Weisse
459,650,Schlenkerla Helles Lagerbier
460,743,Ondineke Oilsjtersen Tripel
461,1043,Ale Mary
462,743,Jan de Lichte
463,1142,Bigfoot 2000
464,222,Rauchbier Lager
465,14,Bourbon Imperial Stout
466,14,Witbier
467,14,Bavarian Bock
468,14,Heater
469,14,Harvest Brown
470,14,Brout
471,650,Aecht Schlenkerla Rauchbier MÃ¤rzen
472,650,Aecht Schlenkerla Rauchbier Weizen
473,757,Kapuziner Schwarz-Weizen
474,70,Christmas Bock
475,296,Prior 8
476,395,Old Man Ale
477,1056,Criminally Bad Elf
478,1056,Very Bad Elf Special Reserve Ale
479,70,Weisse
480,757,MÃ¶nchshof Premium Schwarzbier
481,296,St. Bernardus Tripel
482,296,BiÃ¨re Blanche
483,1375,Wychcraft
484,1204,Double Bastard Ale
485,7,Rochefort 6
486,277,Guldenberg
487,262,Westmalle Trappist Tripel
488,590,Fire in the Hole!
